EVT_771090_NAME;Choosing sides;
EVT_771090_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente in their struggle against Syndicalism.;
EVT_771090_OPTIONA;We have special bonds with the Entente.;
EVT_771090_OPTIONB;We can cooperate with Germany.;
EVT_771090_OPTIONC;We will create a new global alliance!;
EVT_771090_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771091_NAME;Choosing sides;
EVT_771091_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to join the Entente in their struggle against Syndicalism.;
EVT_771091_OPTIONA;We have special bonds with the Entente.;
EVT_771091_OPTIONB;We can cooperate with Germany.;
EVT_771091_OPTIONC;We will create a new global alliance!;
EVT_771091_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771092_NAME;Choosing the Sides;
EVT_771092_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new bloc consisting of neighbouring countries.;
EVT_771092_OPTIONA;We have special bonds with the Entente.;
EVT_771092_OPTIONB;We can cooperate with Germany.;
EVT_771092_OPTIONC;We will create a new global alliance!;
EVT_771092_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771093_NAME;Choosing the Sides;
EVT_771093_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is to create a new bloc consisting of neighbouring countries.;
EVT_771093_OPTIONA;We have special bonds with the Entente.;
EVT_771093_OPTIONB;We can cooperate with Germany.;
EVT_771093_OPTIONC;We will create a new global alliance!;
EVT_771093_OPTIOND;We don't need any allies, we will stay out of global affairs.;
EVT_771094_NAME;Choosing sides;
EVT_771094_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is joining the Commune of France and its allies in the struggle for a world free from exploiters!;
EVT_771094_OPTIONA;We will fight for a better world with the Commune of France!;
EVT_771094_OPTIONB;We will create a new global alliance to spread Bolshevism!;
EVT_771094_OPTIONC;We don't need any allies, we will stay out of global affairs.;
EVT_771095_NAME;Choosing sides;
EVT_771095_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is joining the Commune of France and its allies in the struggle for a world free from exploiters!;
EVT_771095_OPTIONA;We will fight for a better world with the Commune of France!;
EVT_771095_OPTIONB;We will create a new global alliance to spread Bolshevism!;
EVT_771095_OPTIONC;We don't need any allies, we will stay out of global affairs.;
EVT_771096_NAME;Choosing sides;
EVT_771096_DESC;The hour is at hand to choose our destiny! Russia's strength and potential allows us to do as we please. The most suitable option, however, is joining the Commune of France and its allies in the struggle for a world free from exploiters!;
EVT_771096_OPTIONA;We will fight for a better world with the Commune of France!;
EVT_771096_OPTIONB;We will create a new global alliance to spread Bolshevism!;
EVT_771096_OPTIONC;We don't need any allies, we will stay out of global affairs.;
EVT_771097_NAME;Russia wants to join the Entente;
EVT_771097_DESC;The Russian government has announced recently that they wish to join the Entente. It's not a sudden move because the Entente is popular in many circles, including the ruling cabinet and army. Do we want to create an alliance between Russia and the British Empire in exile?;
EVT_771097_OPTIONA;Yes, let them join!;
EVT_771097_OPTIONB;We'd rather not.;
EVT_771097_OPTIONC;How about signing a non-aggression pact instead?;
EVT_771098_NAME;We join the Entente Cordiale;
EVT_771098_DESC;The Canadians are happy to see us joining the common cause to destroy the evil syndicalists. Now we are a part of the Entente Cordiale!;
EVT_771098_OPTIONA;This time we will win!;
EVT_900909_NAME;Russia wants to join the Entente;
EVT_900909_DESC;The Russian government has announced recently that they wish to join the Entente. It's not a sudden move because the Entente is popular in many circles, including the ruling cabinet and army. Do we want to create an alliance between Russia and the British Empire in exile?;
EVT_900909_OPTIONA;Yes!;
EVT_900909_OPTIONB;We'd rather not.;
EVT_900910_NAME;We join the Entente Cordiale;
EVT_900910_DESC;The Canadians are happy to see us joining the common cause to destroy the evil syndicalists. Now we are a part of the Entente Cordiale!;
EVT_900910_OPTIONA;This time we will win!;
EVT_771099_NAME;Russia wants to join the Entente;
EVT_771099_DESC;An unexpected turn of events! Russia wants to join the Entente which is a surprise due to the small pro-Entente influence in both the ruling cabinet and the army. How we should respond?;
EVT_771099_OPTIONA;Yes.;
EVT_771099_OPTIONB;We'd rather not.;
EVT_771099_OPTIONC;How about signing a non-aggression pact instead?;
EVT_772000_NAME;Canadians propose a non-aggression pact;
EVT_772000_DESC;The Canadian government is either too proud or too stupid to accept our offer but they want to sign a non-aggression pact instead. What we will tell them?;
EVT_772000_OPTIONA;If it's all you can offer...;
EVT_772000_OPTIONB;No means no!;
EVT_772001_NAME;Russia wants to join the German bloc;
EVT_772001_DESC;The Russian government has announced recently that they want to join the German bloc. It's not a sudden move because Mitteleuropa is popular in many circles, including the ruling cabinet and the army. Do we want to create an unstoppable German-Russian alliance?;
EVT_772001_OPTIONA;Yes!;
EVT_772001_OPTIONB;We'd rather not.;
EVT_772001_OPTIONC;How about signing a non-aggression pact instead?;
EVT_772002_NAME;We join the German bloc;
EVT_772002_DESC;The Germans are happy to see us joining the common cause to destroy the evil Syndicalists. Now we are part of Mitteleuropa!;
EVT_772002_OPTIONA;Now we are a superpower!;
EVT_772003_NAME;Russia wants to join the German bloc;
EVT_772003_DESC;An unexpected turn of events! Russia wants to join the German bloc which is a surprise due to the small pro-German influence both in the ruling cabinet and the army. How we should respond?;
EVT_772003_OPTIONA;Yes.;
EVT_772003_OPTIONB;We'd rather not.;
EVT_772003_OPTIONC;How about signing a non-aggression pact instead?;
EVT_772004_NAME;Germans propose a non-aggression pact;
EVT_772004_DESC;The German government is either too proud or too stupid to accept our offer but they want to sign a non-aggression pact instead. What we will tell them?;
EVT_772004_OPTIONA;If it's all you can offer...;
EVT_772004_OPTIONB;No means no!;
EVT_772005_NAME;Russia wants to join the Syndicalists;
EVT_772005_DESC;The Russian government has announced recently that they want to join the Syndicalist bloc. It's not a sudden move because the Internationale is popular in many circles, including the government and army. Do we want Russian workers joining the crusade against the bloodthirsty Germans and the rotten imperialist Canadian pigs?;
EVT_772005_OPTIONA;Yes!;
EVT_772005_OPTIONB;We'd rather not.;
EVT_772006_NAME;We join the Syndicalist bloc;
EVT_772006_DESC;The French are happy to see us joining the common cause to destroy the evil imperialists. Now we are part of the Internationale!;
EVT_772006_OPTIONA;This time we will win!;
EVT_772007_NAME;Where lies the Russian future?;
EVT_772007_DESC;We have decided to form an independent bloc. In the Ministry of Foreign Affairs there are two schools of thought, both with many supporters. Some argue for the formation of the Slavic bloc consisting of the Ukraine, Belarus, Poland and other Slavic and Orthodox countries. There's also talk about creating an alliance with Japan, thus changing the world's international policy by a large degree. Which area we should concentrate on?;
EVT_772007_OPTIONA;The Pacific!;
EVT_772007_OPTIONB;Central Europe ( not ready )!;
EVT_772008_NAME;Alliance with Russia?;
EVT_772008_DESC;The Russians want to form an alliance with us. How shall we respond?;
EVT_772008_OPTIONA;Yes!;
EVT_772008_OPTIONB;No!;
EVT_758109_NAME;A New 1812;
EVT_758109_DESC;Our Enemies have reached the outskirts of Moscow! The nation must fully mobilize in order to stop them!;
EVT_758109_OPTIONA;There is nowhere to retreat, Moscow is behind us!;
EVT_758108_NAME;A New 1328;
EVT_758108_DESC;Our Enemies have reached the outskirts of Moscow! The nation must fully mobilize in order to stop them!;
EVT_758108_OPTIONA;There is nowhere to retreat, Moscow is behind us!;
EVT_753800_NAME;Armenia reincorporated into Russia;
EVT_753800_DESC;Areas of the former Ottoman puppet state of Armenia are now firmly integrated into Mother Russia.;
EVT_753800_OPTIONA;Great!;
EVT_900800_NAME;The Bjorko Pact;
EVT_900800_OPTIONA;Send our foreign minister to Berlin to negotiate a pact!;
EVT_900800_OPTIONB;The Ukraine is rightfully Russian, we don't need permission to take it back!;
EVT_900800_OPTIONC;Ukraine is of no interest to Russia.;
EVT_900802_NAME;The Bjorko Pact;
EVT_900802_DESC;A Russian Diplomat has arrived in Berlin. He comes with a secret treaty looking for a German signature. The treaty states that Russia will have a free hand in the now Syndicalist country of Ukraine in exchange for a mutual-defense pact which will relieve some of the mounting pressure we face in the Pacific.;
EVT_900802_OPTIONA;Sign and ratify the pact.;
EVT_900802_OPTIONB;You want us to sign this?!;
EVT_900803_NAME;The Bjorko Pact;
EVT_900803_DESC;We are now at war with the Russians and the Bjorko pact has become forfeit.;
EVT_900803_OPTIONA;Burn it!;
EVT_900804_NAME;The Bjorko Pact;
EVT_900804_DESC;Russia and Japan are now at war, it is time to honor the Bjorko Pact we signed with them.;
EVT_900804_OPTIONA;Honor the Pact!;
EVT_900804_OPTIONB;Did the Russians think we were serious?;
EVT_900805_NAME;The Bjorko Pact;
EVT_900805_DESC;Russia and France are now at war, it is time to honor the Bjorko Pact we signed with them.;
EVT_900805_OPTIONA;Honor the Pact!;
EVT_900805_OPTIONB;Did the Russians think we were serious?;
EVT_900806_NAME;The Bjorko Pact;
EVT_900806_DESC;France and Germany are now at war, it is time to honor the Bjorko Pact we signed with them.;
EVT_900806_OPTIONA;Honor the Pact!;
EVT_900806_OPTIONB;Did the Germans think we were serious?;
EVT_900807_NAME;The Bjorko Pact;
EVT_900807_DESC;France and Germany are now at war, it is time to honor the Bjorko Pact we signed with them.;
EVT_900807_OPTIONA;Honor the Pact!;
EVT_900807_OPTIONB;Did the Germans think we were serious?;
EVT_900808_NAME;The Russians honor the Bjorko Pact;
EVT_900808_DESC;The Russians have joined the war against Syndicalism on our side, honoring the pact we have signed with them.;
EVT_900808_OPTIONA;Hurrah!;
EVT_901909_NAME;Status of Karelia;
EVT_901909_DESC;During the Russian civil war many rightful Russian lands were occupied by the Kingdom of Finland. Subsequent German intervention in the Russian Civil War allowed Finland to keep those territories. Now that the attention of the German empire is turned westwards we can finally focus on regaining Karelia. We can either try to solve this matter diplomatically or use this opportunity as a pretext to finally integrate Finland into our state.;
